text,label
Kejariwal doing best ...... ronak patel.... sarkar to aavava do pachhi e kam no kare to tene saval karajo....  aakha gujarat ma pela sara road to banavo bjp vala o....,1
"Mehul Bhodhara kand thayo tyare Bhai tame Kaya guma thaeagaya hata
Ane have pasa mar ket ma aavigaya
Samajne  sasa sahakar ni jarur se
Nayke aava dharamik jagadani",1
Sairam aa dikra nu dukh joy hu khub j dukh ni lagni anu bhavu chu mara guru satya sai baba ne rat divah aa dikra mate prath na karu chu mara aasuj nathi rukta eshvar aabalakne best life aapse ane aena  prents male so taka prath sambhli che god bless you beta,1
Baba agr Paisa nthi leta to su vandho.andh srdha  kem lage che tmnefkt  hanumanji ni prathna ne Puja  krvani hoy che.,1
"ronakbhai saval e karjo k ema net kya thi made che and ena paisa kya thi kapai che + e j meter chale che eno power sema thi use thai aa saval khas karjo
thank you
#Abpasmita #Ronakpatel",1
Aato thoduk bahar aavyu se bov badhi vaato bahar pan nay aavti hoi lakho loko luti raha se trb na naam thi,1
Dahod na loko unghi gaya che k su? Bhaio tame tamari rite koi pan rite pela balatkari ne mari nakho bhale je paglu bharvu pade pan mari nakho pela ne,1
Bharno dikro toy am nathi bolto ha ane bhul to kari che e mani lay joi kevi gor vaat kare che chokhu batay che ana j sport ma che mariya gya ane paisha day manavi lay sahay day day bs,1
Tari ma chodu AA andhvishvas nathi akhu khach Jane chhe bapu paisa Kadi nathi leta Jay mogal ma,1
"Girl child: Mummy mummy sadhu aaye hain
Mummy: beta ghar me aaja.
Girl child: Swaminarayan ke sadhu hain.
Mummy: chhote bhai ko bhi ghar me le aa.",1
Ronak bhai chhodta nahi last sudhi koi ne jarur pade to have yogi saheb ne bolavo action leva mate baki bhupendra bhai nu kam nathi ka sanghvi ne besado ...Baki koi rasto nahi have,1
"Police nokar chhe
Public na paisa mathi pagar male chhe evu kem bhuli jaay chhe...
Aapane je pagar aape aapne ena nokar kehvay",1
Aa badhay na bape tya Hanuman ji ni sthapna kari 6 aevu mane 6 to ghare jai ne sui jav ne to Sanatan dharm ane hindutv taki rese,1
Aa bhai ye to bas ekaj prsadi aaypi chhe wadare joyati hoy to aaju baaju na makan ma gusi jawo pgvcl wara bhai 😂😂😂😂,1
Beti bachao Beti padavo mudo  deni vale hi ne beti ka dur upyog or badnam kiya he Jay javan Jay hind jayBharat mera Des mahan sabka sath sabka vakas Jay hind ❤,1
DEAR SAHEB NICE CHANNEL.. GOOD WORK SIR.. BEROJGARI... MOGWARI.. ANE BHARRASTACHAR NA SAMACHAR.. DEABATS.. NEWS KE TAPAS KARWANI KAMGIRI KARWANI ARJ CHE...,1
"Gujrat ma tamam grampanchayat or ward me jitne bhi msndir he unka vahivat vapad hindu sanatanckohi milna chahie
Kyu ki asli varsdar vi hi he to gujrst se hi stsrt karo ki gujrst me all district me sanatan dharmvki autonomus bodi banakr bharst me 680 fidtrict me all didtrict me ek hi get to gather point banana chahie jo bharst me all relihion ko bharst me every district me sat sampradik ka ekccenter banake vanhacpe all religion. Ko ek ssth kam kare esa kuchvh karna chshie",1
Aa loko ketki damfaso mare che aa loko hawas ni gang che aa loko behno ne  balatkar thi Lai badhi  Kharar kaam kare che,1
Lobhia hoi tya dhutara bhukhe na mare....aa kehvat...juni che ane sachi pan che,1
