text,label
Gunah ne gunah ni najr thi Jovay tevi Vinanti.doshitone kadak saza madvi joie.pan dharmi v dharmi nu lebal na aapvu joie.patrkarita.ni.pardarshita.ma.communiti.ne.jodine.su.faido.patrkarita.nI.garima.jadvo.saheb,0
Sachi vaat che,0
naniyav limit bar gya che have,0
મતદાન વધુ કરાવજો રાજપૂતો,0
Ene Kone hak aapi didho loko ne gumrah karvano ..ene puchho ke vigyan motu ke dev....ene khaber chhe aa potane sarvosresth sabit karva mage chhe ..pan mahakali aava papi ne jaldij aa duniya mathi chutkaro aapi de ...je dharm ne dubhavvani vat kare,0
Mafi thi koy fer no pade dofa tathiy ne mari nakh janta 2o.lalh.aap.che.shay,1
"Barabar che bhai
pela Government office , government staffs ne tya lagavo",0
Abhan che salo,1
હવે નિત હવે ખોટી ના પેટના નીતિના ખેડૂતો ને હું દેશને આખા ખેડૂતોને બરબાદ કરી નાખ્યો ભાજપ વાળા તો ભ્રષ્ટાચાર ના પેટના જુઓ તમે ચૌદુ બનાવો બધાય ખેડુને ખેડુને કહી દીધું જ નથી ભાજપમાં સતા ટુ એકબીજાને ગોલમાલ કરીને ઘર ભેગા કરી નાખો એવા ભ્રષ્ટાચાર ના પેટના મુખ્યમંત્રી સીએમ બનાવ્યો તને બાલા ગોળી મોદીએ પાઈ દીધી તો તું એનો ચમચો થઈને બોલસ હવે કોંગ્રેસ ભેગો થઈ જા,1
"કોઈનો ખરાબ સમય જોઈને હસવાની જરૂર નથી ભાઈઓ.... ભરતભાઈ, કેસુરભાઈ એ બધા સારા માણસો જ  છે...... એક ભુલ ના કારણે તેઓ ખરાબ છે એવું ના કહી શકાય... બાકી online gaming અત્યારે બધા કરે જ છે... વધારે કહેશુ તો... વાટ જોઈને બેઠા જ છે... 😂😂😂😂😂",0
ઘનશ્યામ ડુબે પ્રેમવતી ના ધંધા બંધ થાશે હવે,0
Aak dam koty vat cha,0
શુદ્રો સાથે હજારો વર્ષ થી અન્યાય અત્યાચાર ભેદભાવ કરવામાં આવે છે,0
Police na modhama pesa aapine nikadi jase,1
Ane hindu dharm no gamto hoy to pote dharm badli sake se bijani patar thokva nu baand kar dogle,0
This  kind of sant is like  street dogs  without testicles...so we don't  need  to give  attention on them,1
Bjp no patto perile have maya bhai tu,1
Lagvak kari ne lagyo lage aa🤣🤣,0
Rupalani vat sachi che,1
"એક રસ્તો બીજો છે..




બંગડીયું પેરી લ્યો નમાલીનાવ",0
વિશ્વાસુ માણસ જ વિશ્વાશ ઘાત કરે તો કેવું થાય,0
Jaadi bhosdi badmaas che. Fakat verbhavna felava sivay bijou kay karti nathi.,1
ઉત્તરદાયિત્ત્વ વગરની જવાબદારીના ઓઠા હેઠળ લોકોને ધમકાવવા એ ભાજપ ની પ્રકૃતિ છે.,0
Jay Raghuv Jay bajrang bali jai bhagva range Jay hindu satan Hindu rashtra ki Jay ho,0
AK,0
Boghi boghi boghi  se...khotini..,0
Send them all back ..jai hind. Vande Mataram,0
Aa badha chor che,1
બીજેપી નાં કાર્યકર્તા સાંસદ નેતા ઓ જસદણ તાલુકાના આટકોટ માં પાટીદાર સમાજ ની દિકરી ઉપર રેપ કર્યો હતો પરંતુ કાંઈ પણ નો થયું પેપર લીક થાય છે બીજેપી નાં રાજ માં રોજગાર બંધ છે  દેશ ભર માં દારૂ વેચાઈ છે જનતા ના મોઢે વાત થાય છે અમારા  સમાજ ના માણસો ને દારૂ પીવા લાગ્યો છે અમીત શાહ  નો દીકરો દુબઇ માં બેસી મોજ કરે છે મોદી ને ખબર છે    કિકેટ માં જુગાર રમતા અને સટો રમાડે છે   મોદી કે  બીજેપી ની તાનાશાહી ગુંડાગર્દી અભદ્રતા છે. હવે બીજેપી ને કોઇ પણ સાથ આપતાં નથી ઈ વી એમ માં જીત મેળવી ને પોતાની સરકાર બચાવે છે,0
Sav  khotu naa bolay,0
આમ બૂમ બરાડા પડવાથી કંઈ થવાનું નથી..ગામે એટલી સભા ઓ ભરો કે આંદોલન કરો પણ તમે કશુંય તોડી નહિ  શકવાના..કામ ધંધા કરો..અને લોકો ને કરવા દો..,0
..... aa AMITIYO to murkh chchey baladiyo ....JUTHTHU bolwa ma PHD thayelo chchey FEKU IT CELL ni univercity no ..... MURKH gobar dimag ......,1
Butlegar ne aava saval pu6o ben,0
ગીર સોમનાથ જિલ્લાના ઉના તાલુકાના ગામડામાં આવા હોમગાડિયા અને પોલીસવાળા આવી જ રીતે ગરીબ માણસોને કરે છે આવા નોકરિયાતને હેરાન કરી શકે વકીલોને તો ગરીબ માણસોની શું હાલત કરે પોલીસવાળા ગુંડા રાજ પોલીસ વારા હપ્તાહોર પોલીસવાળા દારૂના હપ્તાહ લઈ જેટલા ગેરફાયદા સર ધંધા હાલે એટલામાં પોલીસવાળા હપ્તાહ લઈશ પોલીસવાળા થી બેયમાં આ ગુજરાતમાં કોઈ નથી કે ઇન્ડિયામાં નથી જેટલા પોલીસવાળા બેયમાની અને લૂંટીને ગરીબ માણસોને પૈસા લેશે એટલે કોઈ લેતા નથી ખાસ કરીને ગીર સોમનાથ જિલ્લાના ઉના તાલુકાના ગામડાઓમાં અહીંયા ત્રણ થી ચાર બંદર આવ્યા બંદર કાંઠાના માણસોને જોરદાર હેરાન કરે છે હોમગાડી આવું એટલે કે પોલીસવાળાના દાળિયાઓ બચો વાળા,0
"स्वर्णिम किरणें आई नभ से,
नव आशा का दीप जलाए।
सुरभित पवन सजीव हुआ जब,
कलिका-कलिका मृदु मुस्काए।

शीतल जल की कल-कल ध्वनि में,
स्वर गूँजें मधुर बिहाग के।
मंदिर में घंटों की झंकारें,
जागे मंत्र अनुराग के।

नील गगन में सुमधुर कोमल,
सूरज हँसता निर्मल मन।
सप्ताहांत का संदेशा लेकर,
आई भोर सहज, उज्ज्वल तन।

मृदु किरणों की कोमल छाया,
श्रम का मद हरने आई।
खान सर की यह शुभ प्रभा,
नव जीवन का स्वर लायी।",0
મત ની મોટાઈ માં મન ની અંદર રહેલ જેર નીકળું છે  KARMA બોલે છે એટલે જીભ લપસી ગઈ સમજાય એને વંદન 🙏,0
"This channel is trying to defame ""X-Muslims"" who are not muslim anymore by using the word X-Muslim.   Channel should have used the word X-Sarpanch.
This channel does not know English.",1
અર્જુનભાઈ પનોતી છે,0
લોડા માપ માં રે ક્ષત્રિય રાજપૂત સમાજ બાપ છે માફી નય રાજીનામું આપ લોડા,1
Aamno varghoro kyare karso harsh sanghvi saheb,1
Vado,0
જૌ.મેડમ.પતકાર.ને.સવાલ.નૌ.જવાબ.આપતા.નથી.આ.છે.આપણા.પથમ.મેયર.,0
મારી નમ્ર વિનંતી મને તમારો નંબર મોકલો મારે તમારી સાથે એકતા જળવાય એવી વાત કરવી છે,0
વાહ ગોપાલભાઈ,0
વાહ બાપુ...,0
Kejrival Aavana chej Jay ho kejreval,0
Kaik to media vala j vadhu padtu felave 6 bapu a nilkanth varni no ullekh karelo j nthi,0
શાળા હોસ્પિટલની સારી સુવિધા માટે એક જ વિકલ્પ આમ આદમી પાર્ટી લાઈટનું બીલ ઝીરો અરવિંદ કેજરીવાલ હિરો🙏🙏🙏,0
Kaliyugma pakhnd vadhu pujay,0
સરદાર વલ્લભભાઈ પટેલે તો આરએસએસ ને બેન કરી નાખ્યુ હતું,0
ઘનશ્યામદાસ પંન્ડા ને 239વર્ષ અને સાડા આઠ વર્ષ થયા પાછળ આ ટકલા બાળાતકારી થયા આમને જન્મ ટીપ આપો નહીતર ફાસીએલટકાવો બહુ જુલમ વધી ગયોછે નહીતર આમને સીમા હેદરને લયને પાકીસતાન મોકલી દો  લિ ચારણ  અમારા ચારણોના સંતોના લીધે તમો આગળ આવીયા અમારા ચારણો પાછા આવીને તમારી પૂઠમા લાકડુ નાખીને તમને મારવાના છે  લી  સનાતન ચારણો,1
સંતોનુ  કામ  મનુષ્યના   આત્મ ને મોક્ષ અપાવાનુ છે  તેને બદલે  સ્વામિ નારાયણ સંપ્રદાયના  સંતો પૈસા કેવી રીતે  ભેગા  કરવા  અને  એ  પૈસા નો કેવી રીતે દુર ઉપયોગ  કરવો  એનુ શિક્ષણ આ આપવાનુ  કામ કાજ  કરેછે((આવા સંપ્રદાયને બેન્ડ કરો),0
Bavo ne sadhu mafer swaminarayn  bhagvan no kyare pan virodha karvo nhi nakar nark ma jahu padse,0
જાહેરમાં ફાંસી આપવામાં આવે નાટક ના કરો પતાવી દ્યો તેનાં મકાન પર બુલ્ડોજર ફેરવી દો,1
नरोत्तम दास नी बुद्धि भटक गये हैं,0
આપ જિંદાબાદ,0
અરે ચોટલા વાળા તારી માના પેટ માં થી લાવ્યો તો ભગવાન ને ભગવાન બધા ના હોય કોને તને ભગવો પેરાવ્યો હે,0
Bhupendra zala no vargodo kadhavani km gand fate che,1
ગુજરાત માં ભ્રષ્ટાચાર નથી ❓ તમરા કહેવા પ્રમાણે નિતીન ભાઈ 😜 રૂપાની સાહેબ તો કહ્યું હતું કે છેલ્લા 25 વરસ માં ખુબ ભ્રષ્ટાચાર વધ્યો છે.,0
Taru bhasar banth kar bapa bojabana bhagat hata,1
Ke tane kya su kaeyu,0
"મારું ગણિત કહે છે કે દરેક સમાજ રામ મંદિર બનાવ્યું તેને વોટ આપશે 
જેને રામ મંદિર નો વિરોધ કર્યો છે તેને વોટ તેજ આપે જે પોતાના માં બાપ ને ઘર માં થી કાઢતા હોય",0
Hed Hed gola,0
🇺🇸 એશિયા ખંડમાં ભારત જેવા દેશમાં પબ્લિકને નેતાઓ ધર્મના નશામા રાખે છે અને નેતાઓ રાજ કરે છે?🌿🌏,0
ભણ્યો છે પણ ગણ્યો નથી માટે કહેવત છેને અધુરો ઘડો છલકાય ઘણો એ આને કહેવાય,0
વાહ મનીપ્રાબેન તમે તો ગુગલી ઉપર છક્કો માર્યો,0
"Geb.pan.kung I.compaithwani.chu.
Zee",0
હવે જનતા જ સરકાર ને સબક સિખડાવશે..,0
Jay bhavani Padmini baa  tame sacha kshtriyani chho,0
Ane have Kathi nakho,0
રોનક પટેલે ખોટને સાથ આપ્યો,0
જેણે ભ્રષ્ટાચારીઓની ઊંઘ ઉડાવી દિધી છે તે યુવરાજસિંહ ..  ઓળખો એમને ..આવનાર ભવિષ્ય છે આપણાં ગુજરાતનું.,0
Amit shah nu nivedan batavo,0
Vote for Aam Aadmi Party,0
Naa Aastik bano..Na NAastik bano..fakta vastavik bano...Namo buddhay...,0
મનસુખ ભાઈ તાલુકાના લોકો બધૂ જાણે છે,0
સ્વામી નારાયણ નામનો કોઈ ભગવાન જ નથી... લુખ્ખો માંગણ સંપ્રદાય છે,0
Ex muslim sahil and Adam seeker chanel on YouTube,0
Vha yuvrajsinh vha🙏,0
TRP gajab 😎📈📈,0
જુની કેસેટ ક્યાં સુધી  ચલાવશો .. Evm બંધ  કરવા મીડિયા શુ કરી રહી છે   તે જણાવો  .....,0
👉હુ અરવિંદભાઈ ને ચા 🍵 પીવા પણ ના બોલાવુ 👈👉કારણ કે મારે મફત નુ કસુ જોતૂ નથી 👈,0
આવા.ભડવા.સવામીકેટલા...છે,1
Mafi thi kam na chale o kam to hame fasi thi chal se,1
Modi sivai udhar nthi,0
Ha avu pan thayu 6 nalse jal yojna ma kasu Kam j nathi tayu,1
ધાર્યું ધણીનું થાય ભાઈ કોરોના તો બાનું છે એ હજાર હાથ વારાની મરજી આગળ આપણું ના ચાલે ગમે તેટલા હોશિયારી મારી લઈશું તો પણ એની ઈચ્છા થશે એટલે ઉઠાવી જ લેશે માટે જીંદગી જીવી લ્યો અને રહી વાત સરકાર ની તો નીકળો વિરોધ માં રોડ ઉપર કેટલાક ને અટકાવશે,0
Jay bholenath 🙏,0
શ્રદ્ધા હોય તો માતા જરૂર વડગે છે,0
Bhai vakil m ke chhe k marnara na family shathe hoi to kess chhode,0
जय हिंद राष्ट्र जय बागेश्वर धाम,0
A bdha pot potsni TRP mate kam kar ta hoi biss,0
ઘોકા નાખો ગાડ ઉપર એટલે ખબરપડે,0
રાહત માટે નય વોટ માટે સે,0
Kuch to લોચા hai bhidu,0
आ रिक्शा वाला नी इज्जत तो गई थोड़ा पैसा मते,0
નતીકરી પંઈસાની માગ,0
"બીજેપી બેઈમાનદાર , ચોર , જૂઠાં , ગુંડા , લફંગાઓ , બળાત્કારીઓ અને આતંકવાદીઓ ની પાર્ટી છે જયારે આમ આદમી પાર્ટી કટ્ટર ઈમાનદાર , સજ્જન વ્યક્તિઓની પાર્ટી છે",0
I am here for only khan sir,0
મોરારી તો મોલા અલી મોલા અલી અને યા હુસેન યા હુસેન ફાડતો હતો સાલો 50%મિયોં.,0
🙏જય મોગલ માં 🙏,0
"Ab diaper kholega lier in chief, bunker se baahar aayega",0
Only app,0
Elecshon..adhikariyo..Paisa.line.bolvanu.bandhkarideche,0
આમ આદમી પાર્ટી ગુજરાત મા અવસે,0
બીજેપી  કામકરતુ નથી  આપ પાર્ટી સારુ કામકરે છે પરંતુ બીજેપી ને ગમતુ નથી,0
Aaa bhai collecter banavu bo agaru che bhai su dismiss karo bo hada che collecter banavu 4 year menat kar vi pade che bhai respect dy collecter ❤❤❤❤,0
લ્યો ધંધો બદલ્યો...😂,0
Aam admi parti ni jarur che,0
koi action nai levase and thai to chokass video mukjo,0
Only aapp,0
સર હું માનું છું ત્યાં સુધી કર્મો અને માં બાપ થી મોટો કોય ધર્મ નાં હોય.દરેક ના જીવન માં બે પાસા હોય સારાં અને નબળા .તેમ છતા આપણા જેવા વિચારો સારુ લાગે એજ આપણે લેવું જોયે.,0
રોનક ભાઈ રજકોટમાં આના જેવા રામ કેટલા છે તપાસ હાથ ધરવામાં આવે,0
ગાંડ ફાટે તો ફાટે પણ નવાબી ના ઘટે meyar ની.,1
Aam Aadmi party zindabad,0
વકીલ હો ના જોયા,0
ABP news વાળા દંલલો છે આનાથી દૂર રહેવું,0
Superb,0
Hu ej kau jyare election aavti tyare vaccine asar kari gyi end Achanak corona ocho thai gyo km..are election ni railio kadhvi htine...hve ej vaccine lidha pachi b corona thay che have ae kam nyi karti and corona vdhi gyo...km ke dand na paisa hta election ma vaprai gya..fari 27 crore dand bhejo karvo to pdsene..hu koi party no samarthak nthi hu current situation par j jivu chu kale kon htu kale kon aavse kyi farak nyi padto...,0
लेख तो बीजेपी vara ne ger बेसड़वा joiye,0
Bija na pysa upar jivva vala,0
રોનક ભાઈ તમે બિવો છો બીજેપી થી,0
Kasu nai karr aa chor che babda,1
સંસ્કારી મા બાપ આજે પણ સ્વામી ની શાળાએ બાળકને ભણવા નથી મોકલતા એનું એક જ કારણ છે કે વગર ચોમાસે સ્વામી નામની વિજળી ક્યારે ત્રાટકે એની કોઈ આગાહી નથી થઈ શકતી....😂😅,1
ઇની  બાપ ને  સાજા કરો,0
"જયારે મહા ભારત માં ગૌરવ વો નાં ભાઈ દુસાસને ચિર હરણ દ્રૌપદી નાં ચિર ખચતતો હતો ત્યારે મોટા મોટા યોદ્ધા ઓ જેવા કે ધુત્ર રાં સ્ટ. અસ્વ ધામ  ભીષ્મ પિતામાં. એવા તો કેટલાય યોદ્ધાઓ હતા તે આ આંધ બની જોયા કરતા હતા ક ઇ જ નાં કરી શક્યા ત્યારે ભગવાન શ્રી કૃષ્ણ યે તેમની લીલા દ્વારા ચિર ખેંચ તા ખેં ચ તા દુશાસન ભોંય ભેગો થ ઇ ગ્યો તો રાજપુત સમાજ ની બેન દીકરીઓ ની જેદુશાસન બની ને ટીપણી કરી છે તો ખુદ ભગવાન રામ આ વી ગયા છે ને આ કાવરવો ની સામે બેન દીકરીઓ ની અસ્મિતા ને ઠેસ ને લ ઇ ઉદ્ધ કરવાનું છે ને ભગવાન રામ આવી રહ્યા છે કવઉ રવો નો વિનાશ કરવાં માટે 
જય ભવાની ભાજપ જવાની",0
Ab rupala pakdati bulaega onion oil mama le lo,0
સોટકા સાચિવાત છે,0
182 AAp,0
એકસો પાંત્રીસ નુ કાય  ન થયુ  સતેવીસનુ છુ થાય,0
Ronak stupid you are not judge,1
Gujarati media👍🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙇🙇🙇🙇🙇,0
Aaa taklaavoye dhndho aaa dro che,1
Anta nakli che,0
દાદા આનુ કૈક તામે જ કરો,0
ઝુટ પે ઝુટ સાલે મનસુખ વસાવા 👿👿,0
પ્રણામ છે સ્વતંત્ર ભારત ની લક્ષ્મીબાઈ ને જેઓ એ સિંહણ ની જેમ ગર્જના કરીને રૂપાલા સાહેબ ને રાજકારણ માંથી ઘેર બેસાડવાનો નિર્ણય કર્યો છે.,0
Ronakbhai su kare che raghav chaddha sathe 😁😁,0
એક તરફ ગોંડલ છે અને એક તરફ રીબડા,0
ભાઈ વિદ્યાર્થી ઓ નું કાંઈ વિચારો.... 4 વર્ષ થઇ ગ્યા છે... રોજગાર નથી મળતો exam આવાની હોય ને ગુજરાત બન્ધ ને એક્ષામ મોકૂફ 😭😭અમારે કરવાનું શુ...... ભાઈ 4 year થયા...,0
"What is king ,?   Why not mahavir, mahabali,  Hanumanji..  why. King..",0
❤ sanatan,0
તમારી રાજકીય કારકીદી ખતમ થય જાશે,0
नशा जिन व्यक्तियों ने सजा भी जरूरी,0
Munafdivan3602 su ke chhe jovo brobr ane aapde nati jati ma jagdiye chhi kadach kajal himdustani ae aa spich hindu dikriyu ane hindu ma bap ne chetvva mate vat bansvi ne kidhi hase to pan kai khotu nathi kryu hu bharwad chhu jo amari dikriyu no nam lai ne udaharn aapyu hot yo pan hu Dil thi khotu na lagadt  kam krvu aghru chhe bolvu kai pan sellu chhe hoy himat patidar samaj athva koi dikra ni to kro madar kajal nu ...aavedan ane FRI...bhanela nu aadhar vagar nu hathiyar bani gyu chhe.kajal ne aa bilva badal su sarkar kri lese,1
Tu bolechhe ne achkaine tenauparthi spstthaychhe bhai ke taroj vakchhe ane idioma tuj bolechhe biji paltino koi nthi bhai karfyunoto bhang kariyuchhene marigya hoytoy  toy pan karfyuno bhang nokray ame gribne pan niyambhang karani sjajdechheto tnepan jadvijoiye ane medamne farithi ame mangdikariyechhiyeke te polisma farithi avijay ne tane jelma nakhiye,1
Aama Kaya kaydana aadhare kam kare chhe police dikari to koi ni office ma nokri kare chhe malik kahe tevu taiping Karine temne aapyu chhe to dikari ne gunegar sha mate police banave chhe police pan janta na nokar chhe BJP na dalal bani ne je kam kare chhe temne police ma nokri karvano adhikari j nathi janta na Tex na rupiya thi pagar laine ne adhikari jantane heran karva nu kam kare chhe to temne ghr besarido janta jago hindu hoi ke muslim janta ak Thai ne aavi sarkar ne ughada pado ne temni okat batavo janta jago,1
Jay jay sri ram aapade badhay janiye j che ye ke jalaram bapa nu virpur hoy k bajrang daas bapu nu bagdana hoy k aapa gigaa nu satadhar hoy tamam jgyaye ankhestro ma bhaviko ne aasatha tuprvak mafat maa kayam bhar pet jamade che jyare aa sawami narayan madiro maa jojo aa sawamiyo ye dharm ne neme dhandho chalu karyoche laadu ni parsadi jotihoy to 20 rupiya jamavu hoyato aek thari naa 100 rupiya aa sawami loko ne to dhundo che aene Sanatan Dharm sathe koi levadeva nathi aemneto bas rupiya kamava thi matlab che,1
Rupani Tu bhai gujrat na layak j nai pela to ane bike chalavvani okat nai ane odi api didhi che bhul thi tane atle..Tu revade corona thi nai matra atle loko mansik rite mare che atle plz pela to Tu new vala ne k bandh kare ava samachar des ma biju kai thtu j nai la corona j che ak ne ak batay batay karo new ma...,1
TME TAMARA VOTING MATE THY NE BIJANE SU LEVA BADNAAAM KRO CHO BAKI JE AA SAMAJ A KRYU CHE ENA TO ITAHAS SAKSHI PURE CHE AMARO BHOROSO BJP SARKAR CHE NAI K AAVA KOI VYAKTIO VOTE BHAJPA SARKAR NE APAY CHE NAI K AAVA 2-4 MANSO NE TME LOKO PELA AAVU BOLO PCHI MAAFI MAGO ATLE SU TAMARE BOLTA PELA J VICHAR KRVO PLE K JO AA SAMAJ NO HOY TO TMARI HALAT SU HOT.,1
"Aava lokomo manvta jevu hotu nthi aamne matr rupiyathi mtlb hoy che gujrat ane polis frj jvano ni privar nike mrnaroni koy chinta
Aava dlalone hoti nthi aemno privar aa aksmat mo homayo thot to rupiya thi
Gunagarone bchva nikli pdyahot
Sbse bda rupeeya he aava loko mate
Bhgvan ase logoko sdbbuddi de  mrnevale sbhi vykti oko inke aatma ko santi prdankr",1
"Madam aa rite ane aava question bjp na koi Nita same boli juvo tame kesho evu hu karish. Ane gulam thaine rahish
 Pan tame avu nahi karo kem ke tamne khaber che tamari halat su thashe
 Ek midiya tarike tamne bhan nathi ke tame koni jode vaat karo che respect karo ane bjp ni bhakti chodi do
 Ane duety karo sari rite
 Aap aave che
 Ane tamaro aham utari jashe",0
aato aem kahe che ke mari aashta teyaj ray che shalagpur maj to aano matalab ke bije keyay nathi tari aashtha shardha toto pavan tara gharma pan nay hoy ne ka te shwash leva shalagpur aato hasu teyaj hanumanji badhej che pela tu tari aakh khol ne shwami vishe saru lagava mate na bol ke teyaj aashtha che aej jagiya ye,1
Aa badhi godi midia chhe marnara 26 manas modiji na koyi saga nota ee dard jena swajan gaya chhe emne khabar pade midia kyay pan modiji khotu Kare chhe ewu kehwani himat nathi karta ane kato bjp thi dare chhe mane to em hatu k modiji emne sabak sikhwadse pan ewu kayi khas na kari sakya modiji ana karta to amari rajashahi sari ane bahadur hati awi kayarta kyarey na kare,1
Sarkar ne je kayda nathi lavvana ilaveche Ane je lavvana che inathi lavti sarkar  aatli badhi nafrat lavo navo kaydo balatkarine fansi pan aakaydo sarkar khud Jani joined nathi lavti Karan ke aama netaji na putro aava Kam vadhare kare che Ane bhinu sankelayjay che Nana mansonu bahar aaveche Ane amapan muslim atle godi midiya no masalo gala na dava khane javu pade atala gala tanse ama tv9bharat varsh to tv na sfikkar pan fadi nakhse aatli muslim thi nafrat aapno desh 1 divas aavi rite bar bad thay javano shrilanka  Pakistan bangaladesh israil ni jem,1
Bhai ama nuksan chhele apde hindu o ne j che vidhrmiyo favi jai che gani vat gar ma patavi devai eno dhandhero n pitai a midia Vada ne to news ni jarur j hoy che a lukha midia Vada vat ne lambi kari ne pablik ne uskere che samjo sanataniyo samjo jo koi mulo emna dharm ni avi koi vat kari hoy to tamne khabr pan nai padava de tai midia Vada nai phochi sakta emni takat nathi midia ni tai bolva ni et hindu ek thava,1
"Hamesa sanatan guru ne target karva ma ave je koi bolta nathi faydo upade che

Var var avu ghani var sudhi swami ji apda devo na vise bolta avya

Have jalaram bapa jeva sant ne target kare 
Jene maaf nahi karay 

Aava swami kay pan boli jay che pachi samadhan kari jatu kare che

Pan bolayelu vakya pachu jatu nathi mate aa swami ne kyarey maaf na karay",1
"Varsothi moti moti dargaho par shu thay che tyare jatha vala ni najar ma Kem na aavyu , ajmer ma Mira datar ma pahela jav tya varsothi Kem tapas Kari nathi ? Tya midia valo ni fate che?roje pepar ma tantriko ni jaherato aave che te na dekhai? Jangli rammy nanana balko ramva lagya che ,te vishay parmidia Kem chup che,",1
